"term","estimate","std.error","statistic","p.value"
"Intercept",68833.3525523016,130.112849505777,529.028092258061,0
"CHRYSLER",-584.87454042008,159.922697125072,-3.6572328439575,0.000255131892094801
"FORD",7938.61602260708,182.638834840912,43.4661994505277,0
"GM",4367.30676665167,157.864520879144,27.6649036929276,1.36209478724116e-167
